name,num_votes,coun_dist,zip_code,longitude,latitude
Commerce Center / MSD Service Center,0,3,40211,-85.81057445,38.22118484
7th Street Road at Industry Road / Metro Government Archives,1,6,40208,-85.77534124,38.22121567
Bellarmine University NE,5,8,40205,-85.70475849,38.22241776
I-264 at Bells Lane,0,1,40211,-85.82123135,38.22258873
Dupont Manual High School,2,6,40208,-85.7572847,38.22260742
Kroger,6,8,40205,-85.68784778,38.2233324
On-Street Chargers,2,8,40205,-85.69387405,38.22419762
Algonquin Parkway at Wilson Avenue/Cane Run Road,0,3,40210,-85.80837515,38.2248246
Jewish Community Center,5,26,40205,-85.65024956,38.22604785
Medical Arts Center,3,8,40217,-85.72665195,38.22615252
I-64 / Blankenbaker Pkwy interchange,2,20,40299,-85.54090284,38.22630127
Kroger,1,18,40223,-85.57522443,38.22647632
Hurstbourne Parkway at Linn Station Road,1,18,40223,-85.57686472,38.22841064
Douglass Community Center,0,8,40205,-85.68591643,38.23014163
Seneca Golf Course,1,8,40205,-85.67282858,38.23042632
On-Street Charger,0,8,40205,-85.70491278,38.23081315
Panera/Mark's Parking Lot,1,8,40205,-85.70809834,38.23148367
Big Rock,1,8,40205,-85.68186063,38.23307369
Village 8 Theaters,4,26,40207,-85.6333031,38.23317557
On-Street Charger,0,8,40204,-85.71170895,38.23331442
Baxter Ave Theaters,8,8,40204,-85.71796419,38.2340367
Miles Park,1,19,40245,-85.46440893,38.2349678
Shelbyville Road at Clark Station Road,2,19,40023,-85.42535339,38.23532168
I-65 at St. Catherine Street,4,6,40203,-85.75113917,38.23661355
On-street Charger,0,8,40204,-85.71910344,38.23739837
Presbyterian Theological Seminary,2,8,40205,-85.68468247,38.23858896
Hogan's Fountain,5,8,40205,-85.70161934,38.23884881
Shelbyville Road at Beckley Station Road,1,19,40245,-85.48798116,38.23907995
Baptist East,1,26,40207,-85.63782905,38.23946531
Grinstead & Everett,2,8,40204,-85.71810458,38.24004292
On-Street Spaces,0,8,40204,-85.72429806,38.24028524
Paristown Center,3,4,40204,-85.73294326,38.24114547
Spalding U. / Breckenridge St. at 3rd St.,2,4,40203,-85.7580318,38.24171023
Chicksaw Park,2,5,40211,-85.8321234,38.24196578
Baxter Avenue near Christy,3,8,40204,-85.72582091,38.24243072
Eastern High School,1,19,40243,-85.52424477,38.24291962
