Name,Num_Votes,Zip_Code,Longitude,Latitude,Zip_Age,Zip_Population,Zip_Income,Zip_Income_National_Rank,Zip_Total_Income,Vehicle_Theft_Per_Zip,Theft_Vote_Ratio,Income_Group,Age_Group,Zip_Pop_Size
Theater Square / Kindred,1,40202,-85.75870753,38.24769776,35.2,4267,8495,31822,36248165,154,0.00649,Low Income,Mid-Aged,Small
River Road at Witherspoon Street,1,40202,-85.75073417,38.2578934,35.2,4267,8495,31822,36248165,154,0.00649,Low Income,Mid-Aged,Small
Shawnee High School,1,40212,-85.81692912,38.26037097,36.0,17848,23240,29242,414787520,181,0.00552,Medium Income,Mid-Aged,Medium
Brown Forman,1,40210,-85.78298105,38.24492487,34.5,14847,20722,30322,307659534,157,0.00637,Medium Income,Younger,Small
Guthrie Street,1,40202,-85.75462089,38.24965187,35.2,4267,8495,31822,36248165,154,0.00649,Low Income,Mid-Aged,Small
Eastern High School,1,40243,-85.52424477,38.24291962,45.3,10381,58388,3295,606125828,3,0.33333,High Income,Older,Small
Norton Hospital / Medical Center West,1,40202,-85.74984655,38.24723973,35.2,4267,8495,31822,36248165,154,0.00649,Low Income,Mid-Aged,Small
Shawnee Library,1,40211,-85.81731118,38.24980342,35.2,23615,21906,29845,517310190,229,0.00437,Medium Income,Mid-Aged,Medium
Future VA Hospital,1,40222,-85.63300706,38.27848973,41.8,21631,52259,4956,1130414429,58,0.01724,High Income,Older,Medium
Southern Baptist Theological Seminary,1,40206,-85.69002437,38.24897075,38.4,19670,34836,17668,685224120,111,0.00901,Medium Income,Mid-Aged,Medium
Walmart Okolona,1,40229,-85.66449424,38.08876795,34.8,37629,44068,8862,1658234772,108,0.00926,Medium Income,Younger,Large
Nia Center,1,40211,-85.80029365,38.2492813,35.2,23615,21906,29845,517310190,229,0.00437,Medium Income,Mid-Aged,Medium
MSD Headquarters,1,40203,-85.76286088,38.25302417,32.4,19939,13458,31541,268339062,213,0.00469,Low Income,Younger,Medium
I-264 at Crittenden Drive,1,40209,-85.7510803,38.19109067,36.5,414,20250,30466,8383500,57,0.01754,Medium Income,Mid-Aged,Tiny
I-264 at Taylor Boulevard / Wyandotte Park,1,40215,-85.78316358,38.18987252,33.1,22485,23358,29169,525204630,243,0.00412,Medium Income,Younger,Medium
Saints Mary & Elizabeth,1,40215,-85.79271387,38.17936647,33.1,22485,23358,29169,525204630,243,0.00412,Medium Income,Younger,Medium
Iroquois High School,1,40215,-85.78053997,38.17179568,33.1,22485,23358,29169,525204630,243,0.00412,Medium Income,Younger,Medium
Blankenbaker Parkway at I-64,1,40299,-85.5384717,38.21726048,39.3,39745,55884,3895,2221109580,55,0.01818,High Income,Mid-Aged,Large
Vettiner Golf Course,1,40299,-85.5672596,38.16976123,39.3,39745,55884,3895,2221109580,55,0.01818,High Income,Mid-Aged,Large
Butler High School,1,40216,-85.81518324,38.19361636,39.5,43454,35142,17356,1527060468,206,0.00485,Medium Income,Mid-Aged,Large
Cane Run Park,1,40216,-85.85851636,38.1832226,39.5,43454,35142,17356,1527060468,206,0.00485,Medium Income,Mid-Aged,Large
Holy Cross High School,1,40216,-85.831748,38.16555841,39.5,43454,35142,17356,1527060468,206,0.00485,Medium Income,Mid-Aged,Large
Main Post Office,1,40213,-85.69486193,38.19736756,37.2,17360,32167,20746,558419120,194,0.00515,Medium Income,Mid-Aged,Medium
UPS WorldPort,1,40213,-85.72940899,38.16279381,37.2,17360,32167,20746,558419120,194,0.00515,Medium Income,Mid-Aged,Medium
Ford Louisville Assembly Plant,1,40213,-85.73166675,38.15700165,37.2,17360,32167,20746,558419120,194,0.00515,Medium Income,Mid-Aged,Medium
Riverview Park,1,40258,-85.90200587,38.14778912,37.6,27221,40658,11476,1106751418,181,0.00552,Medium Income,Mid-Aged,Medium
Mercy Academy,1,40228,-85.63990494,38.16769374,38.6,17161,50628,5628,868827108,64,0.01562,High Income,Mid-Aged,Medium
Preston Highway at Fern Valley Road,1,40219,-85.69719171,38.15662724,36.7,38626,37078,14864,1432174828,356,0.00281,Medium Income,Mid-Aged,Large
Southern High School,1,40219,-85.68293431,38.12683597,36.7,38626,37078,14864,1432174828,356,0.00281,Medium Income,Mid-Aged,Large
Outer Loop at New Cut Road,1,Safa,-85.77640272,38.12670583,36.2,47343,34385,18157,1627889055,373,0.00268,Medium Income,Mid-Aged,Large
Turkey Run Park,1,40291,-85.53337501,38.11603255,37.7,37772,53250,4613,2011359000,110,0.00909,High Income,Mid-Aged,Large
Southwest Regional Library,1,40272,-85.86684722,38.10399111,38.3,37829,41245,10957,1560257105,204,0.0049,Medium Income,Mid-Aged,Large
Rave Cinemas Preston Crossings 16,1,40229,-85.67127186,38.10806182,34.8,37629,44068,8862,1658234772,108,0.00926,Medium Income,Younger,Large
McNeely Lake Park,1,40229,-85.63663845,38.10600095,34.8,37629,44068,8862,1658234772,108,0.00926,Medium Income,Younger,Large
Papa John's Cardinal Stadium,1,40209,-85.7578178,38.2010273,36.5,414,20250,30466,8383500,57,0.01754,Medium Income,Mid-Aged,Tiny
Breckenridge Plaza,1,40220,-85.62371632,38.199663,40.3,34176,47288,7050,1616114688,88,0.01136,Medium Income,Older,Large
Taylorsville Road at Hurstbourne Parkway,1,40220,-85.59369948,38.21390298,40.3,34176,47288,7050,1616114688,88,0.01136,Medium Income,Older,Large
Shelbyville Road at Beckley Station Road,1,40245,-85.48798116,38.23907995,37.9,30831,80634,798,2486026854,47,0.02128,High Income,Mid-Aged,Large
Louisville Urban League,1,40203,-85.77735707,38.24854245,32.4,19939,13458,31541,268339062,213,0.00469,Low Income,Younger,Medium
TARC Headquarters,1,40203,-85.76870863,38.24608024,32.4,19939,13458,31541,268339062,213,0.00469,Low Income,Younger,Medium
Walden Theater and Autodemo,1,40204,-85.72793135,38.24685256,36.5,14217,31900,21111,453522300,135,0.00741,Medium Income,Mid-Aged,Small
Locust Grove,1,40207,-85.66374113,38.28696586,42.1,31543,54050,4401,1704899150,30,0.03333,High Income,Older,Large
Mark Condon,1,40207,-85.66706148,38.26631564,42.1,31543,54050,4401,1704899150,30,0.03333,High Income,Older,Large
Preston Crossings,1,40229,-85.67026052,38.09241674,34.8,37629,44068,8862,1658234772,108,0.00926,Medium Income,Younger,Large
Eastpoint South,1,40223,-85.50681136,38.26833245,42.0,23228,60973,2775,1416280844,54,0.01852,High Income,Older,Medium
Hurstbourne Parkway at Linn Station Road,1,40223,-85.57686472,38.22841064,42.0,23228,60973,2775,1416280844,54,0.01852,High Income,Older,Medium
Kroger,1,40223,-85.57522443,38.22647632,42.0,23228,60973,2775,1416280844,54,0.01852,High Income,Older,Medium
Miles Park,1,40245,-85.46440893,38.2349678,37.9,30831,80634,798,2486026854,47,0.02128,High Income,Mid-Aged,Large
JCPS Headquarters,1,40218,-85.68512619,38.20000518,34.8,31919,32984,19757,1052816296,203,0.00493,Medium Income,Younger,Large
St. Xavier High School,1,40217,-85.72600652,38.21991168,36.0,12627,33001,19738,416703627,91,0.01099,Medium Income,Mid-Aged,Small
Manual Stadium,1,40217,-85.73644373,38.21959616,36.0,12627,33001,19738,416703627,91,0.01099,Medium Income,Mid-Aged,Small
Big Rock,1,40205,-85.68186063,38.23307369,42.0,23002,51244,5378,1178714488,82,0.0122,High Income,Older,Medium
Panera/Mark's Parking Lot,1,40205,-85.70809834,38.23148367,42.0,23002,51244,5378,1178714488,82,0.0122,High Income,Older,Medium
Seneca Golf Course,1,40205,-85.67282858,38.23042632,42.0,23002,51244,5378,1178714488,82,0.0122,High Income,Older,Medium
Assumption High School,1,40205,-85.67678105,38.21700325,42.0,23002,51244,5378,1178714488,82,0.0122,High Income,Older,Medium
7th Street at Industry Road,1,40208,-85.77534124,38.22121567,25.9,11645,24041,28786,279957445,178,0.00562,Medium Income,Younger,Small
Churchill Downs,1,40208,-85.77243313,38.20499615,25.9,11645,24041,28786,279957445,178,0.00562,Medium Income,Younger,Small
Bashford Manor,1,40218,-85.66735326,38.20107879,34.8,31919,32984,19757,1052816296,203,0.00493,Medium Income,Younger,Large
Baptist East,1,40207,-85.63782905,38.23946531,42.1,31543,54050,4401,1704899150,30,0.03333,High Income,Older,Large
