Name,Num_Votes,Zip_Code,Longitude,Latitude,Population,Age,AVG_Income
Baptist East,1,40207,-85.63782905,38.23946531,31543,42.1,54050.0
Seneca Park,3,40207,-85.66762871,38.24517441,31543,42.1,54050.0
The Mall Saint Matthews,10,40207,-85.62322789,38.24762599,31543,42.1,54050.0
EV Charging Suggestion: St.Matthews/ Eline Library,2,40207,-85.64916122,38.24927051,31543,42.1,54050.0
Shelbyville Road Plaza (Trader Joe's),7,40207,-85.6310186,38.2502536,31543,42.1,54050.0
St. Matthews,4,40207,-85.65607822,38.25376472,31543,42.1,54050.0
Trinity High School,2,40207,-85.64992059,38.25524211,31543,42.1,54050.0
Hubbards Lane at Westport Road,5,40207,-85.63952724,38.25964589,31543,42.1,54050.0
Brownsboro Road at Chenoweth Lane,3,40207,-85.66728001,38.26581209,31543,42.1,54050.0
Mark Condon,1,40207,-85.66706148,38.26631564,31543,42.1,54050.0
River Road at Zorn Avenue,5,40207,-85.69816741,38.2772876,31543,42.1,54050.0
Brownsboro Center,2,40207,-85.63779731,38.2784787,31543,42.1,54050.0
Locust Grove,1,40207,-85.66374113,38.28696586,31543,42.1,54050.0
Louisville Boat Club,2,40207,-85.67644178,38.29272952,31543,42.1,54050.0
Baxter Ave Theaters,8,40204,-85.71796419,38.2340367,14217,36.5,31900.0
Grinstead & Everett,2,40204,-85.71810458,38.24004292,14217,36.5,31900.0
Paristown Center,3,40204,-85.73294326,38.24114547,14217,36.5,31900.0
Baxter Avenue near Christy,3,40204,-85.72582091,38.24243072,14217,36.5,31900.0
Walden Theater and Autodemo,1,40204,-85.72793135,38.24685256,14217,36.5,31900.0
I-65 at St. Catherine Street,4,40203,-85.75113917,38.23661355,19939,32.4,13458.0
Spalding U. / Breckenridge St. at 3rd St.,2,40203,-85.7580318,38.24171023,19939,32.4,13458.0
Main Library,7,40203,-85.75735519,38.24406483,19939,32.4,13458.0
TARC Headquarters,1,40203,-85.76870863,38.24608024,19939,32.4,13458.0
Louisville Urban League,1,40203,-85.77735707,38.24854245,19939,32.4,13458.0
MSD Headquarters,1,40203,-85.76286088,38.25302417,19939,32.4,13458.0
Kentucky Center for African American Heritage,4,40203,-85.77972562,38.25389719,19939,32.4,13458.0
Chicksaw Park,2,40211,-85.8321234,38.24196578,23615,35.2,21906.0
Nia Center,1,40211,-85.80029365,38.2492813,23615,35.2,21906.0
Shawnee Library,1,40211,-85.81731118,38.24980342,23615,35.2,21906.0
Shawnee Park,4,40211,-85.83075334,38.25504663,23615,35.2,21906.0
Shawnee Park,2,40211,-85.82452617,38.25897032,23615,35.2,21906.0
Eastern High School,1,40243,-85.52424477,38.24291962,10381,45.3,58388.0
Middletown West,3,40243,-85.54573895,38.24413939,10381,45.3,58388.0
3rd and York,2,40202,-85.75607581,38.24481653,4267,35.2,8495.0
JCTC Downtown,1,40202,-85.75340115,38.24698415,4267,35.2,8495.0
Norton Hospital / Medical Center West,1,40202,-85.74984655,38.24723973,4267,35.2,8495.0
Medical Center East / Chestnut St. at Hancock St.,2,40202,-85.74303213,38.24751014,4267,35.2,8495.0
Theater Square / Kindred,1,40202,-85.75870753,38.24769776,4267,35.2,8495.0
Guthrie Street,1,40202,-85.75462089,38.24965187,4267,35.2,8495.0
PARC,2,40202,-85.75901488,38.25060238,4267,35.2,8495.0
Medical Center North,2,40202,-85.74777636,38.25088889,4267,35.2,8495.0
